QUANTITY, NAME, REFDES, PKG_TYPE, COST, MFGR, NAME, PARTNUMBER, VALUE
1, ad9739, U1, ANALOG_DEVICES_BC-160-1, 70.00, AnalogDevices, , AD9739BBCZ, 
1, MABACT0039, T1, MABACT0039, $10.00, MACOM, , MABACT0039, 
2, res_0603, R4; R5, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 90.1/1%
9, capnp_0603, C19; C5; C6; C9; C10; C13; C14; C17; C18, CC0603, 0.03, , , , 1000PF/X7R/10V
3, res_0603, R6; R7; R8, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 10K/1%
1, res_0603, R9, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 100/1%
2, ELKE, L1; L2, FILT_ELK_E, 0.48, Panasonic, , ELK-E222FA/P9877CT-ND, 
8, capnp_0603, C3; C4; C7; C8; C11; C12; C15; C16, CC0603, 0.03, , , , 0.01UF/X7R/10V
2, SMA_CON, J1; J2, SMA_AR, 4.97, AMP, , AMP221790-1, 
4, mount_hole_125, MTG1; MTG2; MTG3; MTG4, MOUNT_HOLE_125, 0.00, , , , 
1, LT3022, U2, LT3022_MSOP16, 6.10, LTC, , , 
2, capnp_1210, C1; C2, CC1210, , , , , 22UF/X7R/25V
1, res_0805, R2, CR0805, 0.07, , , , 1500/1%
1, res_0805, R3, CR0805, 0.07, , , , 187/1%
1, asp_134488, P64, ASP-134488-01, XXXX, SAMTEC, , ASP-134488-01, 